date,symbol,spot,net_gex_dollars,zero_gamma_flip,call_wall,put_wall,vol_trigger,abs_gamma_strike,gamma_regime,oi_settle_date,contracts_analyzed
2026-07-28,SPX,7428.78,11625657176.458838,7408.029897217398,7600.0,7300.0,7434.085811654684,7000.0,positive,,3011
2026-07-29,SPX,7428.78,11625657176.458838,7408.029897217398,7600.0,7300.0,7434.085811654684,7000.0,positive,2026-07-28,3011
2026-07-30,SPX,7316.1499,-70823161415.93262,7402.264040932132,7600.0,7300.0,7440.729349892744,7000.0,negative,2026-07-29,19677
2026-07-31,SPX,7437.6299,-8272749205.294499,7415.283126057495,7500.0,7300.0,7452.50479904602,7000.0,neutral,2026-07-30,19801
2026-08-03,SPX,7489.7202,19823633491.626396,7429.235868860264,7600.0,7300.0,7474.198147370047,7000.0,positive,2026-07-31,19554
2026-08-04,SPX,7600.5,93303079305.25485,7474.214280022902,7700.0,7400.0,7520.796595234284,8000.0,positive,2026-08-03,19691
2026-08-05,SPX,7736.52,91846150918.29823,7500.791628412251,7800.0,7400.0,7585.677718384605,8000.0,positive,2026-08-04,20534
2026-08-06,SPX,7723.5498,72349064612.03163,7551.710541712866,7800.0,7400.0,7649.139512025597,8000.0,positive,2026-08-05,21411
2026-08-07,SPX,7709.96,65256201202.47802,7564.7215329054125,7800.0,7400.0,7654.3413653825855,8000.0,positive,2026-08-06,21266
2026-08-10,SPX,7757.6401,69534303034.49852,7589.7944087273645,7900.0,7400.0,7680.188943559068,8000.0,positive,2026-08-07,21333
2026-08-11,SPX,7753.1099,69348542776.59084,7618.647537404331,7800.0,7500.0,7709.6308469600635,8000.0,positive,2026-08-10,21279
2026-08-12,SPX,7728.2002,53193036519.869446,7627.308773554719,7800.0,7500.0,7701.078181780289,8000.0,positive,2026-08-11,20740
2026-08-13,SPX,7748.5,68791259446.5552,7644.28156020855,7800.0,7500.0,7712.655871444648,8000.0,positive,2026-08-12,21193
2026-08-14,SPX,7798.9902,105279276522.77321,7662.07984685208,7900.0,7500.0,7734.496478448387,8000.0,positive,2026-08-13,21316
2026-08-17,SPX,7785.7598,73019750294.14555,7664.362147057501,7900.0,7500.0,7733.528345652024,8000.0,positive,2026-08-14,21050
2026-08-18,SPX,7745.0601,30722292614.33896,7692.860368107658,7900.0,7500.0,7746.722849957562,8000.0,positive,2026-08-17,20709
2026-08-19,SPX,7691.7598,-6817963212.663169,7672.828919126882,7900.0,7500.0,7722.843066852891,8000.0,neutral,2026-08-18,21086
2026-08-20,SPX,7707.98,19370050608.974384,7672.17579301654,7900.0,7500.0,7708.770076036917,8000.0,positive,2026-08-19,20967
2026-08-21,SPX,7641.1602,-36417624816.21399,7656.8402400017485,7800.0,7500.0,7709.321665234969,8000.0,negative,2026-08-20,19996
2026-08-24,SPX,7674.3701,3322031716.5810432,7638.9769369035785,7900.0,7500.0,7702.264657999028,8000.0,positive,2026-08-21,20027
2026-08-25,SPX,7652.8599,-11145753477.324368,7637.716399166278,7800.0,7500.0,7685.446294820884,8000.0,neutral,2026-08-24,20038
2026-08-26,SPX,7677.2798,11630380747.597609,7640.762552248783,7800.0,7500.0,7684.234737970115,8000.0,positive,2026-08-25,20079
2026-08-27,SPX,7675.7002,4757865149.847144,7638.7531190228165,7800.0,7500.0,7692.124131162583,8000.0,positive,2026-08-26,20141
2026-08-28,SPX,7730.9902,48107864742.52988,7651.702134657523,7800.0,7500.0,7707.178914824506,8000.0,positive,2026-08-27,20018
2026-08-31,SPX,7711.7598,26189671766.713043,7648.990723015884,7800.0,7500.0,7704.944744333354,8000.0,positive,2026-08-28,19898
2026-09-01,SPX,7686.1401,13865175068.160793,7649.625521553291,7800.0,7500.0,7692.9451597601055,8000.0,positive,2026-08-31,19584
2026-09-02,SPX,7631.4702,-26811091418.923218,7635.953797376037,7800.0,7500.0,7677.178883435585,8000.0,negative,2026-09-01,19714
2026-09-03,SPX,7666.6001,3624107905.565608,7639.979563935426,7800.0,7500.0,7679.52200993578,8000.0,positive,2026-09-02,19725
2026-09-04,SPX,7747.71,72254774004.74814,7659.925529502017,7800.0,7500.0,7705.714335197847,8000.0,positive,2026-09-03,19742
